distance,transport,electricity,diet,co2,category
2,bike,30,veg,20,Low
5,bike,50,veg,30,Low
8,bus,60,veg,45,Low
10,car,80,veg,60,Medium
12,bus,90,veg,70,Medium
15,car,120,nonveg,95,Medium
18,car,140,nonveg,110,High
20,car,150,nonveg,130,High
25,car,200,nonveg,160,High
7,bus,55,veg,40,Low
9,bus,75,veg,55,Low
11,car,100,veg,75,Medium
14,car,110,nonveg,90,Medium
16,car,130,nonveg,105,High
22,car,180,nonveg,150,High
3,bike,40,veg,25,Low
6,bike,60,veg,35,Low
13,bus,95,veg,65,Medium
17,car,135,nonveg,115,High
19,car,145,nonveg,120,High
4,bike,45,veg,28,Low
10,bus,85,veg,60,Medium
21,car,170,nonveg,140,High
23,car,190,nonveg,155,High
12,bus,100,veg,75,Medium
6,bike,55,veg,32,Low
8,bus,65,veg,48,Low
15,car,125,nonveg,98,Medium
18,car,150,nonveg,120,High
20,car,160,nonveg,135,High
